id,serp_topic_annotation,query,qid,feedback,interface_type,query_feedback_time,query_selection_time,topic_id,user,ndcg_10,total_cards_shown,num_queries_explored
1713,492, hurricane damage,6,5,BASE_GOOGLE,2.979489088058472,1.627140998840332,408,951,0.828299649216492,28,6
1712,493, airpots sercuity measures,1,1,BASE_TIS,3.3950369358062744,28.98186707496643,341,940,0.2894294411838796,28,5
1711,492, fatal storm,1,2,BASE_GOOGLE,3.425100803375244,2.7466561794281006,408,951,0.3436966791443692,28,6
1710,486, carry on luggage airport,2,2,BASE_TIS,5.203447818756104,10.924252033233644,341,957,0.3911296106359335,28,2
1709,492, typhoon property damage,3,5,BASE_GOOGLE,2.4342310428619385,5.059880971908569,408,951,0.6726933800270176,28,6
1708,486, airport security procedures,5,4,BASE_TIS,6.357367992401123,7.299721002578735,341,957,0.4382999807415574,28,2
1707,492, deadly storm,5,6,BASE_GOOGLE,2.638669013977051,34.07328796386719,408,951,0.492006202774515,28,6
1706,489, piracy ship boarded,5,5,BASE_TIS,2.080929040908813,22.395468950271606,367,945,0.5996986609463215,28,3
1705,490, tropical storm hit,2,3,BASE,2.5545148849487305,1.5450031757354736,408,949,0.5541431912151693,28,6
1704,489, instances of piracy,3,5,BASE_TIS,2.219162940979004,4.634082078933716,367,945,0.1794770986900752,17,3
1703,492, tropical storm hit,2,6,BASE_GOOGLE,2.50676703453064,5.455811977386475,408,951,0.5541431912151693,17,6
1702,444, airport screening,4,2,BASE_GOOGLE,7.386541843414307,3.708033800125122,341,928,0.8191269840632233,17,4
1701,456, hurricane damage,6,3,BASE_TIS,5.880340814590454,2.5116400718688965,408,940,0.828299649216492,17,5
1700,456, hurricane damage,6,3,BASE_TIS,5.564196825027466,2.5116400718688965,408,940,0.828299649216492,17,5
1699,490, deadly storm,5,4,BASE,3.4684901237487797,1.6950931549072266,408,949,0.492006202774515,17,6
1698,490, hurricane damage,6,5,BASE,2.636547088623047,10.939187049865724,408,949,0.828299649216492,17,6
1697,492, hyphoon damage,4,1,BASE_GOOGLE,4.015143871307373,5.275975942611694,408,951,0.3347092472444263,17,6
1696,489, pirates board ship,1,5,BASE_TIS,2.2494771480560303,4.946426868438721,367,945,0.5040935371655748,17,3
1695,468, train disaster,4,6,BASE_GOOGLE,3.8462882041931152,4.9489710330963135,363,951,0.5770557806483209,17,3
1694,490, fatal storm,1,3,BASE,5.050329923629761,1.5790650844573977,408,949,0.3436966791443692,17,6
1693,468, train tunnel flood,3,2,BASE_GOOGLE,5.9551990032196045,15.47020697593689,363,951,0.4646665026330443,17,3
1692,491, airpots sercuity measures,1,6,BASE_GOOGLE,2.04435396194458,1.0349528789520264,341,938,0.2894294411838796,17,6
1691,468, transport tunnel explosion,6,6,BASE_GOOGLE,5.34099006652832,1140.0216989517212,363,951,0.7752387091786713,17,3
1690,490, hyphoon damage,4,5,BASE,2.786118030548096,1.6766059398651123,408,949,0.3347092472444263,17,6
1689,491, airport screening,4,6,BASE_GOOGLE,1.8374509811401367,1.6642110347747805,341,938,0.8191269840632233,17,6
1688,491, airport security procedures,5,6,BASE_GOOGLE,2.160191059112549,2.3775548934936523,341,938,0.4382999807415574,17,6
1687,491, airport security mesasures,6,6,BASE_GOOGLE,2.472482204437256,2.243349075317383,341,938,0.4923908681256006,16,6
1686,456, typhoon property damage,3,2,BASE_TIS,5.573643922805786,6.840878963470459,408,940,0.6726933800270176,16,5
1685,490, typhoon property damage,3,5,BASE,2.440132141113281,4.324724197387695,408,949,0.6726933800270176,16,6
1684,491, airports use security measures luggage,3,6,BASE_GOOGLE,2.8553030490875244,8.972349166870117,341,938,0.6470962195065267,16,6
1683,487, airport security mesasures,6,6,BASE,5.61576509475708,19.72582507133484,341,937,0.4923908681256006,16,1
1682,491, carry on luggage airport,2,6,BASE_GOOGLE,5.848899126052856,6.093469142913818,341,938,0.3911296106359335,16,6
1681,488, airport screening,4,6,BASE_GOOGLE,3.03889799118042,9.317754983901978,341,953,0.8191269840632233,16,2
1680,483, airports use security measures luggage,3,5,BASE,3.125099897384644,4.363189935684204,341,952,0.6470962195065267,16,2
