id,serp_topic_annotation,distracting,liked_engine,felt_productive,overall_satisfaction,mentally_taxing,interface_type,interface_feedback_time,topic_id,user
113,160,2,4,4,5,3,RAND,13.178936004638672,341,766
112,151,4,2,2,3,4,BASE_TIS,17.546131134033203,367,770
110,149,4,3,5,3,4,BASE_GOOGLE,17.064164876937866,408,769
106,145,1,5,5,5,1,BASE_TIS,20.09098601341248,408,765
102,146,2,4,4,5,3,RAND,19.29331088066101,408,766
100,150,3,4,3,3,4,BASE_TIS,12.602585792541504,341,755
99,134,3,3,2,3,4,BASE_WAPO,24.569169998168945,363,756
98,132,4,3,3,3,5,BASE_TIS,18.143067121505737,367,755
96,119,2,2,1,1,6,BASE_TIS,13.840664148330688,341,744
94,120,2,5,6,5,4,BASE_TIS,212.78621196746823,341,737
93,128,2,4,5,6,3,BASE_WAPO,11.068511962890623,363,753
92,120,2,5,6,5,4,BASE_TIS,24.936081886291504,341,737
91,127,2,5,5,6,4,BASE_WAPO,13.44680118560791,408,753
90,123,2,5,5,5,5,BASE_TIS,13.910232067108154,367,748
89,126,3,4,6,6,3,BASE,20.628498077392575,408,578
88,124,3,4,4,4,3,RAND,22.02053713798523,408,750
86,115,2,3,5,4,4,BASE,19.417481899261475,363,578
84,122,2,4,4,5,2,BASE_TIS,23.77459716796875,341,746
83,114,4,2,2,2,3,RAND,38.581870794296265,363,750
82,112,2,4,4,5,5,BASE_TIS,21.479001998901367,408,748
80,110,3,4,4,4,2,BASE_TIS,29.866494178771973,367,746
78,107,3,4,3,2,5,BASE_TIS,21.41351795196533,367,744
74,105,3,4,5,4,3,BASE,14.293694972991943,367,741
73,93,4,3,3,3,3,BASE,19.519943952560425,363,741
72,72,4,3,3,3,5,BASE_WAPO,12.271932125091553,367,727
70,84,2,4,5,6,3,BASE,19.6506621837616,408,736
62,75,3,5,6,5,3,BASE_TIS,53.52653193473816,408,730
60,74,2,4,4,5,4,BASE,121.89199304580688,341,729
59,83,3,4,4,4,3,BASE_TIS,28.54847288131714,363,735
58,81,3,4,5,3,3,BASE_WAPO,15.864655017852783,367,733
51,63,1,6,4,5,1,RAND,24.687764883041385,367,718
50,62,3,4,3,4,3,BASE,20.77000999450684,367,720
49,50,6,5,2,4,1,RAND,38.3771059513092,341,718
48,57,2,5,5,5,1,BASE_TIS,11.091110944747925,367,715
47,52,4,4,2,3,3,BASE,65.40821480751038,408,720
46,61,3,4,3,4,4,BASE,11.2393639087677,408,709
45,60,4,3,2,2,4,BASE_WAPO,37.72708606719971,341,716
44,41,4,3,3,4,4,BASE,14.371665954589844,341,709
43,58,2,4,5,6,3,BASE_TIS,10.260787963867188,363,710
42,56,3,3,3,4,4,RAND,11.70155906677246,367,719
41,59,4,4,4,4,4,BASE_TIS,12.799933195114136,341,717
40,55,3,3,4,4,2,BASE_WAPO,15.01081895828247,341,711
39,48,4,3,4,3,5,BASE_WAPO,67.62765097618103,367,716
38,49,4,2,4,4,4,BASE_TIS,18.48471188545227,408,717
37,54,2,4,5,5,5,BASE_TIS,14.846988916397097,341,712
36,42,3,4,5,6,3,BASE_TIS,24.831948041915894,341,710
35,47,1,5,5,5,2,BASE_TIS,16.815601110458374,363,715
34,51,4,3,3,4,5,RAND,14.11405110359192,363,719
33,43,3,3,4,4,2,BASE_WAPO,20.93497395515442,367,711
32,53,1,6,6,6,2,BASE_WAPO,13.462552070617676,408,713
31,44,3,4,2,3,5,BASE_TIS,19.304682970047,363,712
30,45,3,5,6,5,2,BASE_WAPO,22.541179895401,367,713
